PlateNumb,RouteUID,RouteName,SubRouteUID,SubRouteName,Direction,StopUID,StopName,StopSequence,DutyStatus,BusStatus,A2EventType,GPSTime,TripStartTime,TripStartTimeType
042-U5,TPE16111,307,TPE157462,307莒光往板橋前站,1,TPE15312,南京林森路口,17,1,0,1,2025-10-22T00:11:10+08:00,2025-10-21T23:53:49+08:00,0
258-U5,TPE16111,307,TPE157462,307莒光往板橋前站,1,TPE15384,民族區運路口,49,1,0,1,2025-10-22T00:12:17+08:00,2025-10-21T23:13:16+08:00,0
261-U5,TPE16111,307,TPE157462,307莒光往板橋前站,1,TPE15326,果菜市場,31,1,0,1,2025-10-22T00:12:05+08:00,2025-10-21T23:26:17+08:00,0
266-U5,TPE16111,307,TPE157462,307莒光往板橋前站,1,TPE15337,員山公園,43,1,0,0,2025-10-22T00:12:04+08:00,2025-10-21T23:19:55+08:00,0
467-FZ,TPE16111,307,TPE157462,307莒光往板橋前站,1,TPE59444,萬坪公園,53,1,0,0,2025-10-22T00:11:53+08:00,2025-10-21T23:03:44+08:00,0
471-FZ,TPE16111,307,TPE157462,307莒光往板橋前站,1,TPE15389,大庭新村,57,1,0,1,2025-10-22T00:11:35+08:00,2025-10-21T23:08:58+08:00,0
EAL-0073,TPE16111,307,TPE157463,307莒光往撫遠街,0,TPE15284,發電所(西松高中),62,1,0,1,2025-10-22T00:12:10+08:00,2025-10-21T22:31:49+08:00,0
EAL-0076,TPE16111,307,TPE157463,307莒光往撫遠街,0,TPE15284,發電所(西松高中),62,1,0,1,2025-10-22T00:12:21+08:00,2025-10-21T22:40:51+08:00,0
EAL-0093,TPE16111,307,TPE157463,307莒光往撫遠街,0,TPE15240,莒光派出所,40,1,0,1,2025-10-22T00:12:19+08:00,2025-10-21T23:21:57+08:00,0
EAL-1156,TPE16111,307,TPE157463,307莒光往撫遠街,0,TPE15254,青島林森路口,47,1,0,0,2025-10-22T00:12:27+08:00,2025-10-21T23:16:53+08:00,0
EAL-1165,TPE16111,307,TPE157463,307莒光往撫遠街,0,TPE15282,南松山(塔悠),61,1,0,0,2025-10-22T00:12:18+08:00,2025-10-21T22:51:06+08:00,0
EAL-1169,TPE16111,307,TPE157463,307莒光往撫遠街,0,TPE15270,捷運南京復興站,55,1,0,0,2025-10-22T00:12:25+08:00,2025-10-21T23:10:45+08:00,0
EAL-1173,TPE16111,307,TPE157463,307莒光往撫遠街,0,TPE15284,發電所(西松高中),62,1,0,1,2025-10-22T00:12:25+08:00,2025-10-21T22:21:58+08:00,0
